Date,Time,Open,High,Low,Close,Volume
2024.02.02,16:30,17414.76,17530.24,17371.68,17498.94,21425
2024.02.02,17:00,17498.44,17528.82,17470.89,17492.29,16475
2024.02.02,17:30,17492.78,17573.91,17456.47,17547.72,11113
2024.02.02,18:00,17548.09,17581.12,17515.09,17578.77,8819
2024.02.02,18:30,17579.14,17624.74,17577.58,17610.01,6206
2024.02.02,19:00,17610.38,17658.92,17600.79,17655.93,5400
2024.02.02,19:30,17656.3,17663.52,17573.09,17617.61,8782
2024.02.02,20:00,17618.1,17645.69,17596.84,17614.93,8244
2024.02.02,20:30,17615.42,17638.87,17588.4,17635.31,8568
2024.02.02,21:00,17635.68,17675.68,17634.45,17654.48,5862
2024.02.02,21:30,17654.85,17681.08,17647.52,17668.68,6287
2024.02.02,22:00,17669.05,17679.51,17641.54,17672.73,5478
2024.02.02,22:30,17672.35,17680.42,17635.25,17636.13,7266
2024.02.02,23:00,17635.25,17635.25,17606.75,17619.5,1606
2024.02.02,23:30,17619.25,17619.5,17590.63,17592.63,1020
2024.02.05,1:00,17602,17628.88,17597.75,17619.75,1262
2024.02.05,1:30,17620.5,17623.75,17607.63,17613.88,1048
2024.02.05,2:00,17613,17633.63,17589.63,17603.38,2070
2024.02.05,2:30,17604.13,17606.13,17575.5,17590.25,1446
2024.02.05,3:00,17590.5,17590.75,17570.13,17582.5,1164
2024.02.05,3:30,17582.88,17594.38,17582.75,17590,1104
2024.02.05,4:00,17589.5,17591.5,17579.13,17586.5,1012
2024.02.05,4:30,17586.38,17590.13,17575.25,17583.5,980
2024.02.05,5:00,17584.25,17590.88,17579.13,17583.38,833
2024.02.05,5:30,17583.25,17589.88,17580.38,17588,645
2024.02.05,6:00,17588.75,17590.88,17585.63,17587.88,555
2024.02.05,6:30,17587.5,17590.88,17584.13,17590.5,426
2024.02.05,7:00,17589.88,17602.63,17582.75,17596,999
2024.02.05,7:30,17594,17599.5,17587.13,17596.75,796
2024.02.05,8:00,17597.38,17610.13,17597.38,17606,866
2024.02.05,8:30,17606.63,17606.88,17594.38,17602.38,779
2024.02.05,9:00,17602.13,17606.63,17595.38,17599,871
2024.02.05,9:30,17599.38,17620.25,17597.63,17602.38,1024
2024.02.05,10:00,17603,17623.75,17595.25,17619.38,1428
2024.02.05,10:30,17618.75,17633.13,17614.75,17625.5,1300
2024.02.05,11:00,17624.5,17629.75,17596.88,17600.25,1383
2024.02.05,11:30,17600.5,17606.25,17581.88,17591.63,1237
2024.02.05,12:00,17591.38,17613,17591.38,17611.25,1040
2024.02.05,12:30,17611.5,17630.75,17611.5,17625.75,1072
2024.02.05,13:00,17626.38,17629.63,17615.5,17620.75,982
2024.02.05,13:30,17621.5,17629.13,17609.5,17615.38,1240
2024.02.05,14:00,17614.75,17643,17608.25,17628.75,1374
2024.02.05,14:30,17629.5,17643.38,17624.13,17640.38,1128
2024.02.05,15:00,17640.25,17646.25,17613.25,17613.25,1311
2024.02.05,15:30,17612.63,17619,17598.25,17607.88,1362
2024.02.05,16:00,17608.25,17632,17604,17630.38,1411
2024.02.05,16:30,17630.25,17646.63,17586.13,17615.5,16229
